Designator,Mid X,Mid Y,Rotation,Layer
C1,158.856601,-95.440574,90.0,bottom
C10,153.749184,-89.11876,270.0,top
C11,138.123526,-96.800978,0.0,top
C12,140.057762,-96.810198,180.0,top
C13,154.795126,-89.022989,90.0,bottom
C14,146.080511,-91.796087,180.0,bottom
C15,161.557762,-98.855198,270.0,top
C16,152.517762,-97.635198,90.0,top
C17,150.337762,-89.920198,270.0,top
C18,139.192,-92.71,270.0,bottom
C19,143.277762,-92.940198,90.0,bottom
C2,154.799791,-95.529535,0.0,bottom
C20,147.357762,-92.915198,90.0,bottom
C21,148.057762,-92.895198,90.0,bottom
C22,151.075244,-98.660521,270.0,bottom
C23,135.316882,-99.294673,0.0,top
C24,137.210684,-99.496655,0.0,top
C25,146.235324,-89.225823,90.0,bottom
C26,145.54055,-89.225823,90.0,bottom
C27,153.237762,-97.440198,90.0,top
C28,141.837762,-97.150198,180.0,top
C29,137.017762,-98.060198,90.0,top
C3,150.086907,-88.530348,180.0,top
C30,151.637762,-94.610198,0.0,bottom
C31,139.597762,-98.110198,90.0,top
C32,166.3192,-93.4212,90.0,bottom
C33,134.55869,-89.225357,90.0,bottom
C34,141.0,-88.5,0.0,top
C36,136.246281,-92.875366,90.0,bottom
C37,135.33831,-92.564471,0.0,top
C39,144.690818,-92.252705,270.0,bottom
C4,145.692626,-88.981816,270.0,top
C5,139.954,-92.71,90.0,bottom
C6,153.536115,-92.084561,180.0,bottom
C7,159.877894,-88.503344,0.0,bottom
C8,162.858907,-92.157447,270.0,top
C9,152.881838,-90.607613,270.0,top
D1,161.668144,-95.665341,90.0,top
J1,142.227762,-97.687198,180.0,bottom
J2,138.654428,-90.841688,180.0,top
J3,162.814,-93.984389,270.0,bottom
L1,156.972,-95.285592,180.0,bottom
L2,139.057762,-95.560198,0.0,top
L5,146.072762,-92.740198,0.0,bottom
L6,151.477762,-96.482698,90.0,bottom
L7,141.485262,-98.240198,180.0,top
Q1,165.542,-91.44,270.0,top
R1,157.0,-89.0,180.0,bottom
R10,152.037762,-92.020198,0.0,bottom
R11,138.012762,-94.110198,0.0,top
R12,143.427762,-90.850198,180.0,top
R13,155.627762,-97.700198,0.0,top
R14,160.847762,-98.865198,270.0,top
R15,155.2956,-99.4664,0.0,top
R16,152.102762,-88.680198,180.0,top
R17,134.653998,-93.289598,0.0,bottom
R18,153.877762,-99.330198,0.0,bottom
R19,152.317762,-98.930198,90.0,bottom
R2,141.567762,-95.890198,180.0,top
R20,134.874,-93.726,180.0,top
R21,160.017415,-95.361339,180.0,top
R22,138.002508,-92.787559,90.0,bottom
R23,137.257712,-92.786681,90.0,bottom
R24,166.1668,-95.25,180.0,top
R25,167.0304,-93.6752,90.0,bottom
R26,135.726178,-89.646237,180.0,bottom
R27,143.9672,-88.9508,0.0,bottom
R3,158.0,-99.0,0.0,bottom
R4,158.0,-98.25,0.0,bottom
R5,141.567762,-95.070198,180.0,top
R6,158.561351,-94.123024,0.0,bottom
R7,153.129642,-97.641656,0.0,bottom
R8,163.0,-90.550198,90.0,top
R9,158.417762,-89.510198,90.0,top
U1,151.517762,-93.300198,90.0,bottom
U10,138.285084,-98.100198,180.0,top
U11,134.9756,-91.44,270.0,bottom
U12,137.8712,-89.3572,180.0,bottom
U13,141.1732,-89.3572,180.0,bottom
U2,164.5,-97.660622,0.0,top
U3,152.857762,-89.880198,180.0,bottom
U4,135.497762,-95.880198,90.0,top
U5,156.822485,-91.994257,180.0,bottom
U6,160.797762,-90.932,90.0,top
U7,156.342762,-93.980198,90.0,top
U8,148.057762,-94.725198,0.0,top
U9,135.2296,-98.1964,180.0,top
X1,147.643131,-89.312463,0.0,top
